Harvester,Time,Plant_ID,Uncolonized_roots,Total_root_tips,Colonized_tips,Soil_mass_extraction_tube,Wet_root_mass_env,Wet_root_mass_frozen,Frozen,Wet_root_mass_total,Notes,Wet_shoot_mass,harvesttime,harvest_datetime,env_g,env_soil_wet_g,env_soil_dry_g,soil_wet_g,soil_dry_g,Date,Time_water_potential,Water_potential_negative_MPa,Water_potential_negative_bar,Water_potential_MPa,Water_potential_notes,Batch,Date_harvested,N_level,Water,Spore,soil_moisture_loss,soil_moisture_loss_corrected,soil_moisture_pct,days_since_watering,water_potential_formatted_time,water_potential_lag,lagnumeric,water_potential_corrected
HM,1899-12-31T11:46:00Z,RS405,"NA","NA","NA",NA,NA,NA,0.49583333333333335,0.35,NA,NA,11:46:00,2022-03-23T11:46:00Z,3.36,35.54,30.7,32.18,27.34,2022-03-23,15:45,NA,19.1,-1.91,6.93 middle darker; 19.1 rest of xylem a little darker,Dry day 1,23 March 2022,low,dry,spore,4.84,4.84,15.040397762585457,1,2022-03-23T15:45:00Z,239,239,-1.1121463
HM,1899-12-31T12:57:00Z,RS306,"NA","NA","NA",NA,NA,NA,0.5444444444444444,0.53,NA,NA,12:57:00,2022-03-23T12:57:00Z,3.4,38.69,34.79,35.29,31.39,2022-03-23,15:10,NA,24.9,-2.49,15.95 ring darkened; 24.9 a bit dark in middle; no other change to 50 bar,Dry day 1,23 March 2022,low,dry,NM,3.8999999999999986,3.8999999999999986,11.05128931708699,1,2022-03-23T15:10:00Z,133,133,-2.0460061
HM,1899-12-31T14:02:00Z,RS203,"NA","NA","NA",NA,NA,NA,0.59097222222222223,0.52,NA,NA,14:02:00,2022-03-23T14:02:00Z,3.36,58.72,39.27,55.36,35.91,2022-03-23,17:35,NA,10.43,-1.043,NA,Intermediate day 1,23 March 2022,low,intermed,spore,19.450000000000003,19.450000000000003,35.13367052023122,1,2022-03-23T17:35:00Z,213,213,-0.3319420999999999
HM,1899-12-31T14:17:00Z,RS342,"NA","NA","NA",NA,NA,NA,0.6020833333333333,0.53,NA,NA,14:17:00,2022-03-23T14:17:00Z,3.4,57.76,38.73,54.36,35.33,2022-03-23,17:33,NA,9,-0.9,NA,Intermediate day 1,23 March 2022,low,intermed,spore,19.03,19.03,35.007358351729216,1,2022-03-23T17:33:00Z,196,196,-0.24569319999999994
HM,1899-12-31T14:44:00Z,RS413,233,301,68,NA,NA,NA,0.62986111111111109,0.48,NA,NA,14:44:00,2022-03-23T14:44:00Z,3.4,57.82,40.26,54.42,36.86,2022-03-23,17:28,NA,12.51,-1.251,NA,Intermediate day 1,23 March 2022,low,intermed,spore,17.560000000000002,17.560000000000002,32.26754869533261,1,2022-03-23T17:28:00Z,164,164,-0.7035187999999999
HM,1899-12-31T15:15:00Z,RS070,"NA","NA","NA",NA,NA,NA,0.63958333333333328,0.23,NA,NA,15:15:00,2022-03-23T15:15:00Z,3.38,40.16,36.25,36.78,32.87,2022-03-23,17:20,NA,17.1,-1.71,NA,Dry day 1,23 March 2022,low,dry,NM,3.9100000000000037,3.9100000000000037,10.630777596519858,1,2022-03-23T17:20:00Z,125,125,-1.2927125
HM,1899-12-31T15:28:00Z,RS326,"NA","NA","NA",NA,NA,NA,0.6479166666666667,0.54,NA,NA,15:28:00,2022-03-23T15:28:00Z,3.35,56.22,39.49,52.87,36.14,2022-03-23,17:01,NA,19.62,-1.962,NA,Intermediate day 1,23 March 2022,low,intermed,NM,16.729999999999997,16.729999999999997,31.64365424626442,1,2022-03-23T17:01:00Z,93,93,-1.6515381
HM,1899-12-31T15:38:00Z,RS180,"NA","NA","NA",NA,NA,NA,0.65625,0.28,NA,NA,15:38:00,2022-03-23T15:38:00Z,3.35,48.07,33.6,44.72,30.25,2022-03-23,16:53,NA,14.55,-1.455,NA,Intermediate day 1,23 March 2022,low,intermed,NM,14.469999999999999,14.469999999999999,32.35688729874776,1,2022-03-23T16:53:00Z,75,75,-1.2046275
HM,1899-12-31T09:36:00Z,RS522,281,505,224,1.1599999999999999,0.5,0.15,0.40486111111111112,0.68,NA,NA,09:36:00,2022-03-24T09:36:00Z,3.4,58.4,38.22,55,34.82,2022-03-24,10:44,NA,16.62,-1.662,NA,Wet day 2,24 March 2022,low,wet,spore,20.18,20.18,36.69090909090909,2,2022-03-24T10:44:00Z,68,68,-1.4349956
HM,1899-12-31T09:48:00Z,RS231,125,156,31,1.74,0.31,0.17,0.41319444444444442,0.5,NA,NA,09:48:00,2022-03-24T09:48:00Z,3.38,60.97,40.67,57.59,37.29,2022-03-24,11:11,NA,14.83,-1.483,NA,Wet day 2,24 March 2022,low,wet,spore,20.300000000000004,20.300000000000004,35.24917520402848,2,2022-03-24T11:11:00Z,83,83,-1.2059211
HM,1899-12-31T09:58:00Z,RS374,314,314,0,1.24,0.39,0.25,0.42083333333333334,0.68,NA,NA,09:58:00,2022-03-24T09:58:00Z,3.35,55.77,35.59,52.42,32.24,2022-03-24,11:11,NA,8.28,-0.828,NA,Wet day 2,24 March 2022,low,wet,spore,20.18,20.18,38.49675696299123,2,2022-03-24T11:11:00Z,73,73,-0.5843041
HM,1899-12-31T10:09:00Z,RS283,229,370,141,1.43,0.28999999999999998,0.23,0.4284722222222222,0.56,NA,NA,10:09:00,2022-03-24T10:09:00Z,3.37,58.06,35.35,54.69,31.98,2022-03-24,11:18,NA,15.02,-1.502,NA,Wet day 2,24 March 2022,low,wet,spore,22.709999999999997,22.709999999999997,41.524958859023585,2,2022-03-24T11:18:00Z,69,69,-1.2716573
HM,1899-12-31T10:20:00Z,RS167,160,285,125,1.33,0.27,0.21,0.43611111111111112,0.51,NA,NA,10:20:00,2022-03-24T10:20:00Z,3.29,54.33,32.7,51.04,29.41,2022-03-24,11:25,NA,13.8,-1.38,NA,Wet day 2,24 March 2022,low,wet,spore,21.63,21.63,42.37852664576802,2,2022-03-24T11:25:00Z,65,65,-1.1630105
HM,1899-12-31T10:31:00Z,RS487,217,352,135,1.03,0.34,0.23,0.44305555555555554,0.56,NA,NA,10:31:00,2022-03-24T10:31:00Z,3.36,62.3,41.96,58.94,38.6,2022-03-24,11:32,NA,14.52,-1.452,NA,Wet day 2,24 March 2022,low,wet,spore,20.339999999999996,20.339999999999996,34.5096708517136,2,2022-03-24T11:32:00Z,61,61,-1.2483636999999999
HM,1899-12-31T10:42:00Z,RS375,192,296,104,1.24,0.17,0.14000000000000001,0.45069444444444445,0.34,NA,NA,10:42:00,2022-03-24T10:42:00Z,3.41,58.81,35.5,55.4,32.09,2022-03-24,14:48,NA,18.88,-1.888,NA,Wet day 2,24 March 2022,low,wet,spore,23.309999999999995,23.309999999999995,42.075812274368225,2,2022-03-24T14:48:00Z,246,246,-1.0667782
HM,1899-12-31T10:53:00Z,RS500,118,118,0,1.1599999999999999,0.16,0.12,0.45902777777777781,0.29,NA,NA,10:53:00,2022-03-24T10:53:00Z,3.46,59.87,34.53,56.41,31.07,2022-03-24,14.42,NA,13.72,-1.372,NA,Wet day 2,24 March 2022,low,wet,spore,25.339999999999996,25.339999999999996,44.92111327778762,2,2022-03-24T14:42:00Z,229,229,-0.6075293
HM,1899-12-31T11:04:00Z,RS281,223,271,48,1.38,0.34,0.19,0.46597222222222223,0.55,NA,NA,11:04:00,2022-03-24T11:04:00Z,3.39,60.6,34.49,57.21,31.1,2022-03-24,14:39,NA,17.45,-1.745,NA,Wet day 2,24 March 2022,high,wet,spore,26.11,26.11,45.63887432267086,2,2022-03-24T14:39:00Z,215,215,-1.0272655
HM,1899-12-31T11:15:00Z,RS264,180,180,0,1.1499999999999999,0.27,0.37,0.47430555555555554,0.65,NA,NA,11:15:00,2022-03-24T11:15:00Z,3.41,57.3,35.94,53.89,32.53,2022-03-24,14:29,NA,14.6,-1.46,NA,Wet day 2,24 March 2022,high,wet,NM,21.36,21.36,39.636296158842086,2,2022-03-24T14:29:00Z,194,194,-0.8123697999999999
HM,1899-12-31T11:27:00Z,RS079,243,243,0,0.91,0.32,0.25,0.48194444444444445,0.61,NA,NA,11:27:00,2022-03-24T11:27:00Z,3.39,61.28,37.83,57.89,34.44,2022-03-24,14:16,NA,19.08,-1.908,NA,Wet day 2,24 March 2022,low,wet,NM,23.450000000000003,23.450000000000003,40.50785973397824,2,2022-03-24T14:16:00Z,169,169,-1.3438272999999998
HM,1899-12-31T11:45:00Z,RS263,109,109,0,1.1299999999999999,0.22,0.14000000000000001,0.49305555555555558,0.41,NA,NA,11:45:00,2022-03-24T11:45:00Z,3.44,58.49,34.38,55.05,30.94,2022-03-24,14:04,NA,17.75,-1.775,NA,Wet day 2,24 March 2022,high,wet,NM,24.109999999999996,24.109999999999996,43.79654859218892,2,2022-03-24T14:04:00Z,139,139,-1.3109762999999999
HM,1899-12-31T13:18:00Z,RS388,151,151,0,1.3,0.21,0.18,0.56041666666666667,0.42,NA,NA,13:18:00,2022-03-24T13:18:00Z,3.38,59.3,40.22,55.92,36.84,2022-03-24,13:41,NA,9.15,-0.915,NA,Wet day 2,24 March 2022,low,wet,spore,19.08,19.08,34.12017167381974,2,2022-03-24T13:41:00Z,23,23,-0.8382191
